"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"08-May-2026","ANZEN","Anzen Ind Ene Yld Plu Tru","PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED","BUY","50,00,000","122.25",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AMX CCF  SANDS  GLOBAL GROWTH","BUY","4,81,282","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AON COLLECTIVE INVESTMENT TRUST","BUY","3,90,005","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","APT UNIVERSAL  FONDS","BUY","18,073","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","5,057","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","5,291","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","19,681","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","23,59,031","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK CAPITAL ALLOCATIO TERM TR","BUY","2,45,828","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION COLLECTIVE FUND","BUY","2,10,905","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION FUND AUST","BUY","15,064","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION FUND INC","BUY","13,60,613","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION PORTFOLIO OF BLACKROCK SERIES FUND INC","BUY","13,010","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION V I FUND OF BLACKROCK VARIABLE SERIES FUNDS INC","BUY","3,16,358","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL FUNDS GLOBAL ALLOCATION FUND","BUY","14,48,262","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL FUNDSINDIA FUND","BUY","5,15,691","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BOFA SECURITIES EUROPE SA","BUY","5,29,570","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","BOFA SECURITIES EUROPE SA  ODI","BUY","10,59,140","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","CASEY FAMILY PROGRAMS","BUY","34,099","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","CG TPT GLOBAL EQUITY FUND","BUY","2,16,529","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD SSB","BUY","5,29,570","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLOYEES RETIREMENT SYSTEM","BUY","4,12,626","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","DENDANA INVESTMENTS MAURITIUS LIMITED","BUY","33,114","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","EPIQ CAPITAL II","BUY","11,40,680","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","EWING MARION KAUFFMAN FOUNDATION","BUY","1,62,285","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","FIDELITY FUNDS INDIA FOCUS FUND","BUY","9,95,190","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","FIDELITY INDIA FUND","BUY","87,526","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","GENERAL PENSION AND SOCIAL SECURITY AUTHORITY","BUY","5,26,049","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","GHISALLO MASTER FUND LP","BUY","5,29,570","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","HDFC MUTUAL FUND","BUY","4,92,982","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","HDFC MUTUAL FUND","BUY","98,59,638","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","HDFC STANDARD LIFE INSURANCE CO LTD","BUY","5,29,570","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","HP INC MASTER TRUST","BUY","16,046","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","JNL BLACKROCK GLOBAL ALLOCATION FUND","BUY","2,69,794","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","LOS ANGELES CITY EMPLOYEES RETIREMENT SYSTEM","BUY","3,77,949","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","LVIP BLACKROCK GLOBAL ALLOCATION FUND","BUY","1,68,450","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","MANULIFE GLOBAL FUND INDIA EQUITY FUND MLIE","BUY","7,02,667","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","MATTHEWS ASIA GROWTH FUND","BUY","2,89,026","473.40",
"08-May-2026","LENSKART","Lenskart Solutions Ltd","MATTHEWS ASIA INNOVATORS ACTIVE ETF","BUY","1,67,519","473.40",
