"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"13-Jan-2026","ASHWINI","Ashwini Container Mover L","VARADA TRADING PRIVATE LIMITED","BUY","1,00,000","156.74","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","HRTI PRIVATE LIMITED","BUY","3,32,803","1,212.00","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","QE SECURITIES LLP","BUY","2,06,054","1,215.53","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,75,134","1,212.88","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","1,91,416","1,216.87","-"
"13-Jan-2026","BALUFORGE","Balu Forge Industries Ltd","HRTI PRIVATE LIMITED","BUY","6,22,673","479.33","-"
"13-Jan-2026","BALUFORGE","Balu Forge Industries Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","6,00,926","481.90","-"
"13-Jan-2026","DAVANGERE","Davangere Sugar Company L","ARIHANT CAPITAL MARKETS LIMITED","BUY","2,60,87,033","4.80","-"
"13-Jan-2026","DREDGECORP","Dredging Corporation of I","HRTI PRIVATE LIMITED","BUY","1,41,287","1,077.46","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","MUSIGMA SECURITIES","BUY","5,63,945","189.21","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","PUMA SECURITIES","BUY","5,86,000","188.70","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","QE SECURITIES LLP","BUY","7,61,527","186.40","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","QICAP MARKETS LLP","BUY","4,71,878","190.45","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","MICROCURVES TRADING PRIVATE LIMITED","BUY","8,16,841","190.20","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","10,15,252","187.37","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","9,38,527","187.93","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","IRAGE BROKING SERVICES LLP","BUY","6,60,650","191.08","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","8,33,399","184.77","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","11,11,913","187.49","-"
"13-Jan-2026","JALAN","Jalan Transolu. India Ltd","DHARMISHTHA ABHAYBHAI SHAH","BUY","1,80,000","3.88","-"
"13-Jan-2026","JTLIND","JTL INDUSTRIES LIMITED","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","25,99,945","64.07","-"
"13-Jan-2026","KHANDSE","Khandwala Sec. Ltd","ORION STOCKS LTD","BUY","19,198","19.95","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","5,81,314","532.42","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","4,87,647","530.49","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","4,75,886","534.42","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","4,36,031","533.34","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","HRTI PRIVATE LIMITED","BUY","6,44,996","530.28","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","MATHISYS ADVISORS LLP","BUY","5,37,062","530.44","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","QE SECURITIES LLP","BUY","4,02,912","530.08","-"
"13-Jan-2026","KRYSTAL","Krystal Integrated Ser L","ANSHU SHRIVASTAVA","BUY","1,61,000","620.00","-"
"13-Jan-2026","KRYSTAL","Krystal Integrated Ser L","MANDAKINIBEN PRADYUMANBHAI PATEL","BUY","56,735","614.33","-"
"13-Jan-2026","MANAKALUCO","Manak Aluminium Co. Ltd.","ANKITA VISHAL SHAH","BUY","6,16,366","47.59","-"
"13-Jan-2026","MCL","Madhav Copper Limited","NEO APEX VENTURE LLP","BUY","1","74.00","-"
"13-Jan-2026","OMAXE","Omaxe Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","10,85,550","83.87","-"
"13-Jan-2026","ORIENTTECH","Orient Technologies Ltd","HRTI PRIVATE LIMITED","BUY","4,30,672","376.97","-"
"13-Jan-2026","ORIENTTECH","Orient Technologies Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,96,710","381.43","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","BUY","22,07,011","154.71","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","MATHISYS ADVISORS LLP","BUY","3,42,417","155.40","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","HRTI PRIVATE LIMITED","BUY","4,52,517","154.76","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","SW CAPITAL PRIVATE LIMITED","BUY","8,81,347","154.95","-"
"13-Jan-2026","TARMAT","Tarmat Limited","ARTON GLOBAL","BUY","2,46,000","52.25","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","QE SECURITIES LLP","SELL","2,10,510","1,215.65","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,75,279","1,213.64","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","HRTI PRIVATE LIMITED","SELL","3,29,546","1,214.79","-"
"13-Jan-2026","BALAMINES","Balaji Amines Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","1,91,416","1,217.66","-"
"13-Jan-2026","BALUFORGE","Balu Forge Industries Ltd","HRTI PRIVATE LIMITED","SELL","6,16,296","480.90","-"
"13-Jan-2026","BALUFORGE","Balu Forge Industries Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","5,98,882","482.28","-"
"13-Jan-2026","DAVANGERE","Davangere Sugar Company L","ARIHANT CAPITAL MARKETS LIMITED","SELL","1,11,76,614","4.73","-"
"13-Jan-2026","DREDGECORP","Dredging Corporation of I","HRTI PRIVATE LIMITED","SELL","1,49,447","1,073.24","-"
"13-Jan-2026","EEPL","Eppeltone Engineers Ltd","SRISHTI  SOMANI","SELL","65,000","169.37","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","PUMA SECURITIES","SELL","5,86,000","188.90","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","MUSIGMA SECURITIES","SELL","5,63,945","189.44","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","11,11,913","187.56","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","8,33,399","184.83","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","IRAGE BROKING SERVICES LLP","SELL","5,01,659","188.06","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","QE SECURITIES LLP","SELL","7,86,837","185.30","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","9,38,527","188.12","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","10,14,340","187.47","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","MICROCURVES TRADING PRIVATE LIMITED","SELL","8,16,841","190.25","-"
"13-Jan-2026","GARUDA","Garuda Construct N Eng L","QICAP MARKETS LLP","SELL","4,71,878","190.52","-"
"13-Jan-2026","JALAN","Jalan Transolu. India Ltd","MANISH JALAN","SELL","1,05,000","3.90","-"
"13-Jan-2026","JTLIND","JTL INDUSTRIES LIMITED","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","26,04,541","64.10","-"
"13-Jan-2026","KHANDSE","Khandwala Sec. Ltd","ORION STOCKS LTD","SELL","1,08,632","20.10","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","QE SECURITIES LLP","SELL","4,24,203","528.05","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","4,75,886","534.64","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","4,85,927","530.44","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","4,36,031","533.25","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","HRTI PRIVATE LIMITED","SELL","6,83,364","529.83","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","MATHISYS ADVISORS LLP","SELL","5,36,715","529.30","-"
"13-Jan-2026","KIRIINDUS","Kiri Industries Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","5,81,314","532.61","-"
"13-Jan-2026","KRYSTAL","Krystal Integrated Ser L","L7 HITECH PRIVATE LIMITED","SELL","83,009","617.77","-"
"13-Jan-2026","KRYSTAL","Krystal Integrated Ser L","MANDAKINIBEN PRADYUMANBHAI PATEL","SELL","1,51,973","620.05","-"
"13-Jan-2026","MANAKALUCO","Manak Aluminium Co. Ltd.","ANKITA VISHAL SHAH","SELL","3,96,366","47.68","-"
"13-Jan-2026","MANGALAM","Mangalam Drug & Chem Ltd.","SANJAY KUMAR SAINI","SELL","95,000","40.65","-"
"13-Jan-2026","MANGALAM","Mangalam Drug & Chem Ltd.","JYOTIPRASAD TAPARIA","SELL","1,50,000","42.64","-"
"13-Jan-2026","MCL","Madhav Copper Limited","NEO APEX VENTURE LLP","SELL","1,58,251","73.65","-"
"13-Jan-2026","OMAXE","Omaxe Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","10,85,550","83.97","-"
"13-Jan-2026","ORIENTTECH","Orient Technologies Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,97,100","381.37","-"
"13-Jan-2026","ORIENTTECH","Orient Technologies Ltd","HRTI PRIVATE LIMITED","SELL","4,02,981","381.13","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","SELL","22,02,870","155.18","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","SW CAPITAL PRIVATE LIMITED","SELL","8,81,347","154.54","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","MATHISYS ADVISORS LLP","SELL","3,42,956","154.84","-"
"13-Jan-2026","RATNAVEER","Ratnaveer Precision Eng L","HRTI PRIVATE LIMITED","SELL","3,28,795","154.52","-"
