"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"10-Apr-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","15,19,050","368.88","-"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","KAVYA INVESTMENTS","BUY","5,25,160","127.78","-"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","IRAGE BROKING SERVICES LLP","BUY","5,62,650","125.43","-"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","1,65,595","124.99","-"
"10-Apr-2026","APEX","Apex Frozen Foods Limited","HRTI PRIVATE LIMITED","BUY","2,34,578","438.49","-"
"10-Apr-2026","APEX","Apex Frozen Foods Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,65,867","441.44","-"
"10-Apr-2026","ASHWINI","Ashwini Container Mover L","GYAANA RETREAT & SERVICES PRIVATE LIMITED","BUY","2,50,000","142.40","-"
"10-Apr-2026","ASTEC","Astec LifeSciences Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","1,30,532","661.59","-"
"10-Apr-2026","ASTEC","Astec LifeSciences Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,84,770","644.12","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","1,11,91,085","0.30","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","ACHINTYA SECURITIES LIMITED","BUY","72,99,207","0.32","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","SHARE INDIA SECURITIES LIMITED","BUY","78,04,271","0.32","-"
"10-Apr-2026","CREST","Crest Ventures Limited","SIDDHISURI FINVEST PRIVATE LIMITED","BUY","1,50,000","345.00","-"
"10-Apr-2026","DIVYADHAN","Divyadhan Recycling Ind L","SHREE HANUMAN TUBES PRIVATE LIMITED","BUY","1,20,000","26.85","-"
"10-Apr-2026","FILATFASH","Filatex Fashions Limited","ACHINTYA SECURITIES LIMITED","BUY","5,10,13,115","0.21","-"
"10-Apr-2026","HMAAGRO","HMA Agro Industries Ltd","MONEYPLANT GOLD & JEWELLERY TRADING L.L.C","BUY","25,05,562","23.48","-"
"10-Apr-2026","INFOBEAN","InfoBeans Techno. Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,31,705","181.15","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","MICROCURVES TRADING PRIVATE LIMITED","BUY","13,24,906","596.41","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","CLT RESEARCH TECH PRIVATE LTD","BUY","5,68,885","602.18","-"
