"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"02-Mar-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","7,13,195","302.61","-"
"02-Mar-2026","ARIS","Arisinfra Solutions Ltd","ARUNA TAPARIA","BUY","4,95,017","103.55","-"
"02-Mar-2026","DEEDEV","DEE Development Eng Ltd","HRTI PRIVATE LIMITED","BUY","4,09,988","279.25","-"
"02-Mar-2026","DEEDEV","DEE Development Eng Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,94,078","280.45","-"
"02-Mar-2026","DEVIT","Dev Info Technology Ltd","XDUCE TECHNOLOGIES PRIVATE LIMITED","BUY","51,25,000","23.33","-"
"02-Mar-2026","GAUDIUMIVF","Gaudium IVF N Women H L","KISHAN GOPAL MOHTA","BUY","7,00,000","82.01","-"
"02-Mar-2026","HECPROJECT","HEC Infra Projects Ltd","NITIN MADHUKARBHAI PANDYA","BUY","3,50,000","134.47","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","2,87,453","455.98","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","8,99,649","455.90","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","QE SECURITIES LLP","BUY","3,53,532","459.34","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","3,44,259","458.09","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,81,825","457.01","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","IRAGE BROKING SERVICES LLP","BUY","2,40,509","457.33","-"
"02-Mar-2026","INFOBEAN","InfoBeans Techno. Ltd.","HRTI PRIVATE LIMITED","BUY","1,27,494","183.00","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","PACE STOCK BROKING SERVICES PVT LTD","BUY","1,51,593","511.44","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","MUSIGMA SECURITIES","BUY","1,57,870","515.29","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","QICAP MARKETS LLP","BUY","2,04,144","513.55","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","2,70,560","506.59","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","BUY","2,39,151","516.70","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","BUY","1,41,002","502.81","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,01,229","510.02","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","6,15,371","509.45","-"
"02-Mar-2026","KHFM","KHFM Hos Fac Mana Ser Ltd","BONANZA COMMODITY BROKERS PRIVATE LIMITED","BUY","2,75,900","61.62","-"
"02-Mar-2026","KSR","KSR Footwear Limited","ALPA WEALTH CREATOR","BUY","2,15,390","30.77","-"
"02-Mar-2026","MANILAM","Manilam Industries Ind L","AUSTIN PLYWOOD PVT LTD","BUY","1,66,000","52.07","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","9,14,756","695.99","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","HRTI PRIVATE LIMITED","BUY","4,69,526","692.39","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","6,69,182","697.74","-"
"02-Mar-2026","PRLIND","Premier Roadlines Limited","ABHAIKUMAR AMOLAKCHAND NAHAR","BUY","1,60,000","58.21","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","QE SECURITIES LLP","BUY","11,20,595","112.68","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","8,13,177","111.50","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","POCKETFUL RESEARCH CAPITAL PRIVATE LIMITED","BUY","6,31,972","112.57","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","19,28,326","112.97","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","6,93,409","112.56","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","ALGOQUANT FINTECH LIMITED","BUY","8,92,691","112.99","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","HRTI PRIVATE LIMITED","BUY","19,13,142","111.90","-"
"02-Mar-2026","SICAL-RE","Sical Logistics Ltd","EQUITY INTELLIGENCE INDIA PRIVATE LIMITED","BUY","2,35,000","0.91","-"
"02-Mar-2026","SINTERCOM","Sintercom India Limited","BELLWETHER CAPITAL PRIVATE LIMITED","BUY","2,10,273","88.26","-"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","NEOMILE GROWTH FUND-SERIES I","BUY","40,00,000","68.00","-"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","OM TRADING","BUY","2,00,000","68.00","-"
