"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"18-May-2026","AMBER","Amber Enterprises (I) Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","2,61,601","7,324.99","-"
"18-May-2026","ARIHANTSUP","Arihant Superstruct Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","4,61,035","284.43","-"
"18-May-2026","ARIHANTSUP","Arihant Superstruct Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,35,499","282.00","-"
"18-May-2026","ARIHANTSUP","Arihant Superstruct Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","3,20,638","284.20","-"
"18-May-2026","ASTEC","Astec LifeSciences Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,21,381","765.01","-"
"18-May-2026","CKKRETAIL","C K K Retail Mart Limited","JAGID VANITABEN RAJENDRAPRASAD","BUY","2,01,600","127.65","-"
"18-May-2026","CONNPLEX","Connplex Cinemas Limited","PRIME VENTURE GROWTH FUND-I","BUY","1,25,600","233.51","-"
"18-May-2026","EFCIL-RE","EFC (I) Ltd","PRIYA SINGH AGGARWAL","BUY","1,00,000","14.74","-"
"18-May-2026","EFCIL-RE","EFC (I) Ltd","RAGASWAROOPA TECHNOLOGIES PVT LTD","BUY","1,19,302","15.05","-"
"18-May-2026","GESHIP","The Great Eastern Shippin","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","9,10,927","1,687.46","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","PUMA SECURITIES","BUY","2,04,098","654.74","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","2,18,353","653.29","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","5,89,864","642.35","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","3,61,960","644.23","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,12,036","644.83","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","MICROCURVES TRADING PRIVATE LIMITED","BUY","16,07,296","652.51","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","10,82,011","648.88","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,69,644","642.21","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","BUY","6,28,859","653.61","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","BUY","10,61,217","651.29","-"
"18-May-2026","JINDRILL","Jindal Drilling And Indus","HRTI PRIVATE LIMITED","BUY","7,89,273","654.32","-"
"18-May-2026","MTARTECH","MTAR Technologies Limited","HRTI PRIVATE LIMITED","BUY","1,56,246","7,000.33","-"
"18-May-2026","PNGSREVA","PNGS Reva Diamond Jewel L","GADGIL GOVIND VISHWANATH","BUY","1,60,000","365.78","-"
